OBJECTID,ID_LOKALITY,DATUM_CAS,DATUM_CAS_TEXT,CAS,DEN,DEN_TEXT,MESIC,MESIC_TEXT,POCET_PRUJEZDU_ZLEVA,POCET_PRUJEZDU_ZPRAVA,POCET_PRUJEZDU_SOUCET
5740,M016,2022/05/15 03:00:00+00,15.05.2022 03:00-04:00,03:00-04:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5741,M016,2022/05/15 03:59:59+00,15.05.2022 04:00-05:00,04:00-05:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5742,M016,2022/05/15 05:00:00+00,15.05.2022 05:00-06:00,05:00-06:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5743,M016,2022/05/15 06:00:00+00,15.05.2022 06:00-07:00,06:00-07:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5744,M016,2022/05/15 06:59:59+00,15.05.2022 07:00-08:00,07:00-08:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5745,M016,2022/05/15 08:00:00+00,15.05.2022 08:00-09:00,08:00-09:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5746,M016,2022/05/15 09:00:00+00,15.05.2022 09:00-10:00,09:00-10:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5747,M016,2022/05/15 09:59:59+00,15.05.2022 10:00-11:00,10:00-11:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5748,M016,2022/05/15 11:00:00+00,15.05.2022 11:00-12:00,11:00-12:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5749,M016,2022/05/15 12:00:00+00,15.05.2022 12:00-13:00,12:00-13:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5750,M016,2022/05/15 12:59:59+00,15.05.2022 13:00-14:00,13:00-14:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5751,M016,2022/05/15 14:00:00+00,15.05.2022 14:00-15:00,14:00-15:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5752,M016,2022/05/15 15:00:00+00,15.05.2022 15:00-16:00,15:00-16:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5753,M016,2022/05/15 15:59:59+00,15.05.2022 16:00-17:00,16:00-17:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5754,M016,2022/05/15 17:00:00+00,15.05.2022 17:00-18:00,17:00-18:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5755,M016,2022/05/15 18:00:00+00,15.05.2022 18:00-19:00,18:00-19:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5756,M016,2022/05/15 18:59:59+00,15.05.2022 19:00-20:00,19:00-20:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,0,0,0
5757,M016,2022/05/15 20:00:00+00,15.05.2022 20:00-21:00,20:00-21:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,6,4,10
5758,M016,2022/05/15 21:00:00+00,15.05.2022 21:00-22:00,21:00-22:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,5,1,6
5759,M016,2022/05/15 21:59:59+00,15.05.2022 22:00-23:00,22:00-23:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,2,3,5
5760,M016,2022/05/15 23:00:00+00,15.05.2022 23:00-24:00,23:00-24:00,2022/05/15 00:00:00+00,15.05.2022 ,2022/05,Květen 2022,1,0,1
5761,M016,2022/05/16 00:00:00+00,16.05.2022 00:00-01:00,00:00-01:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5762,M016,2022/05/16 00:59:59+00,16.05.2022 01:00-02:00,01:00-02:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5763,M016,2022/05/16 02:00:00+00,16.05.2022 02:00-03:00,02:00-03:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5764,M016,2022/05/16 03:00:00+00,16.05.2022 03:00-04:00,03:00-04:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5765,M016,2022/05/16 03:59:59+00,16.05.2022 04:00-05:00,04:00-05:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5766,M016,2022/05/16 05:00:00+00,16.05.2022 05:00-06:00,05:00-06:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,1,1
5767,M016,2022/05/16 06:00:00+00,16.05.2022 06:00-07:00,06:00-07:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5768,M016,2022/05/16 06:59:59+00,16.05.2022 07:00-08:00,07:00-08:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5769,M016,2022/05/16 08:00:00+00,16.05.2022 08:00-09:00,08:00-09:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5770,M016,2022/05/16 09:00:00+00,16.05.2022 09:00-10:00,09:00-10:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
5771,M016,2022/05/16 09:59:59+00,16.05.2022 10:00-11:00,10:00-11:00,2022/05/16 00:00:00+00,16.05.2022 ,2022/05,Květen 2022,0,0,0
